id,title,duration_s,url,query,label
Lcdi9O2XB4E,tokyo night drive - lofi hiphop + chill + beats to sleep/relax/study to ✨ 2026-03-20 12:13,,https://www.youtube.com/watch?v=Lcdi9O2XB4E,ytsearch15:Tokyo street walk dashcam night,REAL_FP_TRAP
rmjhUP2q48g,BBC News Mock Lower Thirds 2024,60,https://www.youtube.com/watch?v=rmjhUP2q48g,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
IqkCTjglMaQ,Broadcast News Lower Thirds V1,80,https://www.youtube.com/watch?v=IqkCTjglMaQ,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
yhZGmljMHJA,Broadcast News Lower Thirds   MOGRT for Premiere Pro by MotionRevolver,22,https://www.youtube.com/watch?v=yhZGmljMHJA,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
kU2HicWg910,"Broadcast News Channel Lower third, Breaking News Bumper & Transitions | 𝐀𝐍𝐈𝐌𝐀𝐓𝐄𝐃 𝐋𝐎𝐆𝐎 | KHAN GFX",48,https://www.youtube.com/watch?v=kU2HicWg910,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
8CE95r6H3EU,"Broadcast News Channel Lower third, Breaking News Bumper & Transitions | 𝐀𝐍𝐈𝐌𝐀𝐓𝐄𝐃 𝐋𝐎𝐆𝐎 | KHAN GFX",54,https://www.youtube.com/watch?v=8CE95r6H3EU,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
hZXxRQiCUJg,Lower Third Glitch - BBC News Channel - 0550BST - weekday,60,https://www.youtube.com/watch?v=hZXxRQiCUJg,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
f08KsMaoExY,Broadcast News Lower Thirds | Elements - Envato elements,27,https://www.youtube.com/watch?v=f08KsMaoExY,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
huQxvgACE8U,Broadcast Design News Lower Third Package2  Free Download,151,https://www.youtube.com/watch?v=huQxvgACE8U,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
D3B4ElnlsnU,News Broadcast Lower Thirds,80,https://www.youtube.com/watch?v=D3B4ElnlsnU,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
_gxXv5qlEdw,BBC News Blooper - Double lower third graphics (16 November 2022),29,https://www.youtube.com/watch?v=_gxXv5qlEdw,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
hrcguBOpBWU,BBC News Blooper - Lower third text error (8 August 2022),40,https://www.youtube.com/watch?v=hrcguBOpBWU,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
X_eyFsw-Jto,Broadcast News Opening Intro | Green Screen Lower third and Bumper | Free to use,57,https://www.youtube.com/watch?v=X_eyFsw-Jto,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
RazaRUNb3w0,Broadcast News Opening Intro | Green Screen Lower Third Frame | Free To Use,60,https://www.youtube.com/watch?v=RazaRUNb3w0,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
xl4kHzl9xps,BROADCAST NEWS LOWER THIRDS ||  ✔ ( No Copyright Video ) Free,45,https://www.youtube.com/watch?v=xl4kHzl9xps,ytsearch15:live TV news broadcast lower thirds 2023,REAL_FP_TRAP
-mgsRRV-A7s,208x720 street billboard Ads,21,https://www.youtube.com/watch?v=-mgsRRV-A7s,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
DXcxG5-q_jg,"Times Square Video Billboard Ads - May 17, 2023",203,https://www.youtube.com/watch?v=DXcxG5-q_jg,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
Xx_6vZOm5VM,Video clip of the digital billboard In Los Angeles,9,https://www.youtube.com/watch?v=Xx_6vZOm5VM,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
_2SnWxHwARQ,"Times Square Video Billboard Ads - May 14, 2023",166,https://www.youtube.com/watch?v=_2SnWxHwARQ,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
8l7Im155tZA,Billboard video ads sample(bb005),20,https://www.youtube.com/watch?v=8l7Im155tZA,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
lhDyjDb5gRQ,"Times Square Video Billboard Ads - December 20, 2025",274,https://www.youtube.com/watch?v=lhDyjDb5gRQ,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
DuoYYBh62-Q,billboard with a green screen on a streets Chroma key,18,https://www.youtube.com/watch?v=DuoYYBh62-Q,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
rQ-e1xJeIls,City Billboards - ADS Videos for your Business -,31,https://www.youtube.com/watch?v=rQ-e1xJeIls,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
wRzfrOVTmpI,London billboard advertising,21,https://www.youtube.com/watch?v=wRzfrOVTmpI,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
NmNyD4BLXDQ,A Billboard With A Green Screen On A Busy Street 4k | By Creator Stockify,19,https://www.youtube.com/watch?v=NmNyD4BLXDQ,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
t9xByiuKnqo,"Times Square Video Billboard Ads - October 18, 2022",217,https://www.youtube.com/watch?v=t9xByiuKnqo,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
